Rank,Name,Team,WAR,G,GS,IP,ERA,WHIP,SO,BB,H,HR,WP,BK,SB
11,최지강,24,1.26,55,0,50.0,3.24,1.44,48,24,18,2,0,1,5
12,이영하,24,0.60,59,1,65.1,3.99,1.50,62,28,34,2,0,0,4
13,시라카와,24,0.26,7,7,34.1,6.03,1.57,30,18,23,0,0,0,2
14,김유성,24,0.23,17,7,28.0,6.43,1.86,28,14,20,0,0,0,2
15,박정수,24,0.20,29,1,29.2,5.16,1.69,38,12,17,0,0,0,1
16,최승용,24,0.14,12,6,27.0,6.00,1.63,37,12,18,0,0,0,2
17,박치국,24,0.03,52,0,48.0,6.38,1.60,59,22,34,0,1,1,0
18,정철원,24,-0.11,36,0,32.1,6.40,2.01,39,19,23,0,0,0,1
19,김동주,24,-0.25,14,9,50.0,8.28,1.76,67,27,46,0,1,1,0
20,이교훈,24,-0.56,33,0,35.1,7.39,1.70,43,19,32,0,1,0,0
1,후라도,키움,6.61,30,30,190.1,3.36,1.14,185,27,185,19,32,3,6
2,헤이수스,키움,5.09,30,30,171.1,3.68,1.25,171,22,178,14,44,8,6
3,하영민,키움,3.25,28,28,150.1,4.37,1.50,168,33,168,9,58,5,7
4,주승우,키움,0.98,55,55,51.2,4.35,1.32,50,14,43,2,36,0,3
5,조상우,키움,0.87,44,44,39.2,3.18,1.51,40,6,36,1,31,0,1
6,김인범,키움,0.79,19,19,63.1,5.40,1.67,75,8,57,2,27,2,3
7,김성민,키움,0.65,46,46,45.2,4.34,1.36,45,4,34,0,34,0,1
8,김윤하,키움,0.54,19,19,79.0,6.04,1.62,93,22,54,4,43,1,3
9,김선기,키움,0.31,42,42,76.1,5.54,1.59,57,18,51,6,43,1,1
10,김동욱,키움,0.22,37,37,36.0,5.00,1.08,33,9,33,1,18,0,0
11,문성현,키움,-0.09,42,0,38.1,6.57,2.06,54,6,39,2,31,1,0
12,김연주,키움,-0.11,34,0,31.1,6.61,1.63,34,10,28,2,24,0,0
13,이종민,키움,-0.12,12,9,43.2,7.63,1.79,56,10,41,2,31,0,1
14,전준표,키움,-0.35,18,5,27.2,8.78,1.99,35,4,39,1,18,1,0
15,조영건,키움,-0.55,25,3,39.1,8.01,1.91,51,10,41,3,31,0,0
1,하트,NC,6.93,26,26,157.0,2.69,1.03,182,38,124,16,2,0,17
2,신민혁,NC,3.14,25,24,121.0,4.31,1.29,140,24,58,8,1,2,9
3,김재열,NC,2.42,69,0,68.2,2.49,1.27,58,29,19,5,0,1,8
4,김시훈,NC,2.31,39,18,107.1,4.53,1.57,110,25,54,3,0,1,6
5,카스타노,NC,2.26,19,19,111.2,4.35,1.27,117,23,54,8,1,0,4
6,김영규,NC,1.74,42,0,45.2,3.15,1.18,40,14,16,2,0,0,3
7,이재학,NC,1.45,21,21,104.1,5.52,1.44,108,42,64,3,0,1,4
8,한재승,NC,0.88,51,0,45.1,4.17,1.41,37,20,20,1,0,1,3
9,임정호,NC,0.85,65,0,55.0,5.24,1.44,54,25,27,7,1,0,1
10,요키시,NC,0.22,8,8,39.1,5.72,1.81,51,7,25,2,0,2,3
11,이용준,NC,0.12,9,9,33.2,6.68,1.66,42,7,25,6,0,0,1
12,송명기,NC,0.04,33,0,38.1,5.87,1.49,40,7,29,2,0,1,0
13,류진욱,NC,-0.03,50,0,42.1,5.74,1.68,52,8,30,3,0,0,0
14,임상현,NC,-0.03,12,7,40.1,6.47,1.71,35,13,29,1,0,1,0
15,최성영,NC,-0.05,24,4,46.2,5.79,1.76,37,17,30,0,0,1,0
16,이준호,NC,-0.62,38,2,49.1,7.48,1.97,41,7,41,2,0,2,0
17,이용찬,NC,-1.14,57,0,54.1,6.13,1.90,48,21,37,5,0,3,0







